49,14,41
32,10,11
8,49,38
42,20,14
40,49,29
28,29,39
17,13,47
28,45,38
10,11,29
1,42,14
32,11,38
18,32,42,35
25,42,10,38
0,49,42,29
10,18,11,42
32,49,13,8
18,42,3,31
0,49,18,42
18,28,42,46
25,42,28,49
25,42,38,49
40,18,42,29
42,28,38,47
49,42,45,47
49,42,29,31
17,20,29,49
17,28,49,41
48,1,42,3
32,17,29,39
32,17,20,29
41,10,28,38
49,13,45,38
32,13,38,47
1,42,18,17
42,29,14,47
16,42,29,38
32,41,29,14
46,42,29,38
32,49,45,38
48,1,42,38
16,42,18,38
0,10,18,42
49,45,29,47
42,3,38,47
40,49,18,42
42,10,14,47
42,10,45,38
17,18,42,25
25,42,3,38
49,18,42,31
16,10,42,18
10,42,3,45
38,42,18,46
0,42,28,29
32,28,38,47
17,29,45,13
18,28,42,31
0,17,18,42
16,10,42,29
18,0,42,3
25,10,42,49
1,42,3,28
32,49,20,38
32,41,10,17
16,48,42,18
1,42,29,41
42,13,14,47
17,42,38,41
8,18,48,42
18,35,42,29
49,42,14,47
32,49,10,20
32,49,28,13,41
48,1,10,18,42
10,18,45,28,42
32,42,18,45,47
17,10,28,13,49
49,42,10,28,47
16,18,3,42,29
32,16,18,42,29
48,1,10,32,42
48,17,18,42,38
48,49,42,3,41
38,48,42,29,14
32,41,42,18,14
32,0,18,28,42
32,41,48,42,38
8,17,18,32,42
8,42,18,29,38
48,18,42,29,46
18,25,10,3,42
32,49,10,38,47
38,10,13,29,14
10,25,42,3,29
41,18,42,29,14
32,0,18,42,29
17,18,20,42,49
48,41,18,42,38
48,42,3,13,14
8,42,32,29,38
48,42,18,20,28
32,25,18,28,42
49,28,29,38,41
49,42,13,38,47
16,32,42,18,49
48,18,32,42,46
29,42,10,28,45
16,18,28,42,29
49,10,42,38,1
8,17,18,42,29
48,41,42,29,38
17,42,28,13,38
16,18,32,3,42
38,42,3,13,14
18,42,13,38,47
1,42,13,38,49
32,18,42,29,31
48,25,42,29,49
48,42,45,28,29
49,18,42,29,39
18,10,42,29,46
1,42,3,29,38
1,42,10,28,29
48,18,45,28,42
49,42,28,38,14
32,49,42,20,13
25,42,3,29,49
25,18,42,28,29
17,42,18,20,29
18,45,42,29,47
32,25,42,29,38
32,17,10,28,38
32,42,18,14,47
