0
1
2
4
5
6
7
8
9
11
12
15
16
19
20
21
22
23
24
25
26
27
30
31
33
34
35
36
37
39
40
43
44
45
46
28,14
48,41
49,47
48,47
14,47
13,47
17,14
38,14
38,47
18,47
3,14
17,47
28,47
3,47
41,47
13,14
32,47
48,14
49,14
41,49
10,14
17,13
10,47
29,47
48,38
41,10
41,28
41,3
48,13
17,10
17,38
32,14
29,14
41,38
17,41
32,41
48,17
41,14
41,13
48,10,3
48,3,29
49,10,13
42,13,38
48,3,28
28,29,38
3,29,38
17,18,28
32,48,3
49,10,28
49,3,38
32,10,48
49,10,38
32,17,49
10,3,38
13,29,38
10,28,38
32,17,28
48,49,3
18,28,38
10,3,13
32,10,38
10,3,28
48,10,28
49,13,38
17,3,49
32,10,13
32,28,38
17,28,29
48,49,28
32,13,38
17,3,28
48,49,10
18,28,13
28,13,38
49,10,3
48,28,29
49,3,13
49,28,13
3,28,13
18,13,38
32,3,38
10,13,38
32,28,13
3,28,38
49,28,38
17,28,49
49,3,28
48,10,29
10,28,13
3,13,38
29,28,13
17,18,29,49
32,49,42,38
32,17,3,29
10,18,29,38
48,49,32,18
32,18,10,28
32,49,18,38
32,10,42,28
32,3,28,29
32,10,3,29
32,49,29,38
48,18,32,28
32,13,3,29
32,49,48,29
32,10,28,29
32,49,10,29
10,18,28,29
32,49,18,29,13
32,49,29,42,13
