10,12
41,23
40,17
0,41,49
49,11,20
13,12,29
41,10,11
8,20,38
40,49,20
17,12,29
0,41,32
0,10,47
17,42,12
8,20,13
17,11,20
32,41,45,38
16,1,42,38
48,42,35,14
48,2,42,29
10,42,46,47
32,8,29,39
49,45,38,14
32,11,45,47
10,28,29,23
25,42,28,14
0,10,28,38
42,31,38,47
28,29,38,23
40,49,29,41
17,13,20,28
8,17,13,38
8,32,13,47
41,10,45,29
16,42,18,31
0,49,42,14
41,42,18,12
48,42,10,31
42,13,45,31
32,11,45,38
42,18,14,31
32,41,45,17
0,42,28,14
8,17,42,14
38,8,29,14
32,49,20,45
40,28,29,38
40,10,29,38
48,1,42,16
41,42,2,29
10,28,42,23
10,20,29,47
17,45,29,14
38,32,45,14
32,41,40,29
42,2,29,38
41,42,20,17
32,49,40,10
49,20,14,17
25,42,29,45
18,41,42,2
39,13,29,47
8,41,42,17
42,28,12,29
49,10,20,47
8,49,13,47
8,29,13,47
49,42,35,38
32,42,14,31
41,28,14,17
8,49,10,14
41,42,12,29
38,20,13,14
38,8,32,14
8,41,29,17
32,17,8,41
8,42,18,46
17,10,20,28
29,13,38,23
40,49,42,1
32,11,28,14
18,42,12,28
42,28,38,23
38,42,13,45,14
17,42,18,13,31
17,10,28,45,49
48,18,42,29,23
49,13,20,29,47
32,42,28,38,31
48,17,18,35,42
2,10,18,28,42
40,42,18,20,29
8,42,18,29,31
0,32,3,42,14
49,28,20,13,38
2,17,42,3,18
10,25,42,18,20
49,18,42,45,31
38,17,42,18,46
42,45,13,14,47
8,32,28,29,14
40,42,3,28,29
48,25,42,13,38
32,49,40,29,13
32,42,35,28,14
49,42,18,28,23
10,29,28,45,47
38,25,42,29,14
0,49,18,42,38
3,42,18,46,14
17,18,20,42,14
48,25,18,42,14
10,49,42,3,31
18,42,3,45,31
49,42,3,29,23
48,18,3,42,31
41,18,28,42,46
32,13,29,38,39
48,35,18,10,42
1,42,28,38,14
32,0,42,29,14
32,29,20,28,47
16,18,42,13,14
32,0,42,3,47
41,10,20,29,49
32,45,13,38,47
0,10,42,29,38
46,42,18,29,14
10,3,42,45,14
3,42,10,45,47
8,16,42,10,18
17,13,29,14,47
48,42,47,38,14
38,49,10,17,47
13,10,2,42,29
32,41,20,29,38
0,10,28,42,13
32,11,28,29,47
25,42,3,13,47
49,42,18,46,14
8,38,18,42,14
8,18,48,42,14
17,42,20,29,14
18,42,35,29,38
0,3,42,18,38
17,47,45,13,49
25,42,10,38,14
48,1,42,3,47
38,32,11,13,14
32,41,20,38,49
49,18,3,42,23
16,18,42,29,14
32,29,20,13,47
0,42,28,29,47
32,17,42,20,14
8,17,48,18,42
32,10,28,45,47
16,41,42,18,28
32,42,3,38,31
25,42,3,14,49
42,10,45,38,47
48,25,42,29,14
18,42,28,45,31
18,10,35,42,38
48,49,42,3,0
32,49,42,35,14
25,42,3,28,47
17,47,13,38,49
0,42,18,29,14
8,42,28,29,14
42,10,2,28,29
2,18,3,28,42
32,18,42,35,38
48,16,42,28,38
25,18,42,38,14
1,42,13,38,47
32,48,42,3,31
16,41,18,42,38
42,2,3,28,29
16,1,10,18,42
8,42,18,13,47
18,3,42,35,38
0,49,42,29,47
10,42,28,45,47
18,28,42,38,31
38,42,29,45,14
8,41,32,13,49
0,17,10,32,29
0,18,42,3,14
48,49,42,35,18
40,41,42,18,29
41,18,28,42,25
48,17,42,18,46
3,25,42,18,20
16,25,42,18,29
18,42,3,38,31
40,42,18,28,38
32,16,42,18,14
32,41,18,40,42
48,1,42,28,14
18,42,35,28,14
32,17,28,38,8
40,18,10,42,38
16,8,18,48,42
0,32,28,42,38
32,41,10,20,29
0,18,48,42,13
17,11,41,13,49
49,29,20,13,41
32,8,18,42,31
32,49,42,38,0
41,28,13,14,49
32,1,42,18,46
1,18,42,29,46
49,42,28,45,14
10,45,28,42,14
42,18,13,38,31
38,42,10,13,46
48,42,18,13,31
3,10,35,28,42
25,10,42,14,49
49,42,45,29,31
32,41,28,45,49
49,42,29,45,1
2,18,13,42,29
32,42,18,46,14
16,41,42,18,13
25,18,10,42,46
49,10,20,13,14
8,41,42,13,49
16,17,42,18,48
48,42,28,29,31
40,49,42,28,38
40,18,42,3,38
10,29,20,13,14
0,41,18,42,29
49,42,13,38,31
17,10,29,14,47
10,29,31,42,47
32,49,29,0,47
48,42,3,45,38
32,17,28,38,47
32,17,13,38,47
49,42,28,29,23
32,13,28,45,14
32,25,42,18,16
32,49,11,28,45
1,18,42,45,49
0,18,28,42,38
8,17,10,32,28
0,17,42,18,13
16,1,42,13,29
0,49,42,29,38
40,41,42,18,49
17,28,45,38,49
32,49,28,8,47
41,20,29,38,49
10,42,18,46,14
10,2,42,3,49
8,17,10,32,13
2,49,42,13,29
18,42,35,13,14
40,25,42,18,29
8,29,10,13,14
32,41,42,20,13
32,17,10,45,38
49,2,10,28,42
18,41,42,10,45
38,42,18,45,14
18,42,10,38,31
49,45,28,29,14
32,10,28,29,39
32,13,29,45,39
3,49,42,35,14
49,18,42,28,13,46
0,17,18,42,10,28
1,49,10,38,42,47
48,16,29,42,28,13
32,49,17,13,14,47
32,49,38,39,42,29
49,18,42,28,31,47
32,17,10,13,14,47
48,49,3,38,25,42
32,18,29,20,42,45
1,18,41,42,28,13
48,1,38,42,29,14
17,18,29,41,42,45
0,49,18,17,42,28
32,49,41,10,28,14
29,45,38,42,13,47
1,18,42,38,10,47
32,0,48,17,18,42
3,42,41,10,28,14
0,18,29,42,28,13
32,1,38,41,42,28
48,49,18,42,29,31
32,42,10,28,29,31
29,38,10,13,14,47
32,17,49,8,28,13
32,48,18,3,35,42
1,18,8,42,28,29
48,18,38,8,42,28
49,18,3,41,42,45
32,1,48,38,41,42
18,3,8,25,42,29
48,17,18,3,20,42
16,18,38,42,28,13
32,16,18,41,42,29
32,18,35,42,10,13
32,16,49,18,41,42
32,17,49,29,14,47
32,18,3,25,42,46
32,1,48,18,8,42
49,10,38,23,42,29
32,3,35,42,29,14
32,3,42,28,31,47
48,1,3,42,29,14
32,48,18,42,45,14
32,49,18,42,12,29
32,1,18,3,42,11
32,49,38,8,28,13
32,18,42,8,41,10
17,18,10,49,25,42
49,3,38,25,42,13
18,45,38,42,13,47
16,49,48,42,28,13
48,1,18,3,42,14
49,18,35,42,29,14
18,29,42,28,13,31
0,32,18,38,42,29
32,48,18,42,31,47
1,10,42,28,29,14
17,18,49,42,29,31
32,18,29,42,45,31
32,49,10,23,42,29
1,18,42,10,28,14
32,18,29,23,42,13
32,18,38,39,42,29
32,18,29,40,42,13
32,17,41,42,13,14
32,17,29,45,13,47
48,1,49,3,42,14
16,17,18,3,42,13
32,1,25,42,28,29
49,18,29,20,42,45
32,2,18,42,28,29
32,16,17,18,42,13
18,29,42,28,13,46
32,0,18,42,38,10
16,48,29,38,42,13
0,3,42,10,28,29
16,17,18,8,42,29
48,38,25,42,28,29
18,38,41,42,13,14
32,49,18,42,10,31
1,18,3,41,42,28
29,41,42,28,13,14
29,45,42,28,13,14
32,49,42,28,31,47
32,16,18,38,8,42
32,2,18,42,10,29
1,3,42,25,10,29
16,18,29,42,28,45
32,38,41,42,13,14
0,49,18,42,10,28
18,10,20,41,42,29
1,18,42,8,10,13
49,13,42,10,45,14
49,2,18,42,10,29
1,49,18,38,8,42
0,32,49,42,10,28
32,48,18,20,41,42
18,42,8,41,10,29
16,48,18,3,10,42
18,3,8,41,42,28
17,18,10,20,38,42
32,18,8,42,28,14
49,18,20,41,42,13
32,1,16,18,42,13
48,18,41,42,28,14
1,49,3,18,20,42
32,17,18,42,28,46
48,3,38,42,13,47
18,38,25,42,29,46
17,49,38,41,42,13
17,18,35,49,42,28
13,18,42,28,45,14
0,32,49,3,10,42
49,8,41,42,28,29
2,3,42,18,10,29
1,18,38,41,42,28
48,49,40,42,28,29
49,29,38,8,10,13
18,42,20,38,10,14
48,18,42,29,46,47
16,49,18,3,17,42
48,1,18,25,42,29
13,3,29,42,45,14
1,42,38,10,29,47
48,49,18,40,42,28
16,48,18,42,10,28
17,49,38,28,29,14
32,49,2,42,28,29
32,48,18,20,42,14
49,18,3,40,42,28
16,3,42,10,28,29
17,18,3,42,20,10
0,32,18,42,29,47
49,3,38,42,14,47
48,1,38,42,13,14
32,1,18,40,42,29
48,18,29,39,42,13
49,18,3,42,45,14
32,1,48,3,42,14
49,2,18,42,28,29
32,18,38,41,42,46
32,18,42,20,41,10
17,18,42,8,10,13
32,18,35,42,28,13
18,3,35,42,29,14
32,18,20,42,29,46
32,18,8,25,42,29
18,35,42,10,29,14
32,18,23,42,28,29
32,17,49,20,38,29
48,18,20,25,42,29
32,18,20,42,28,14
3,42,25,10,29,47
16,49,3,42,28,13
49,3,42,31,29,47
32,48,18,42,46,47
18,29,20,42,13,47
18,3,20,42,13,14
48,18,10,38,8,42
16,17,18,29,42,13
49,3,35,42,10,29
32,29,20,38,10,13
48,49,18,20,41,42
32,18,39,41,42,29
32,49,17,38,11,28
49,18,3,35,42,10
32,49,13,17,10,45
3,10,38,42,14,47
0,17,18,42,10,29
17,18,42,20,10,13
49,18,38,42,29,31
49,18,42,20,41,10
0,32,18,42,10,13
32,18,42,10,28,31
48,49,18,42,46,47
48,13,29,42,45,47
16,1,49,18,42,29
48,18,25,42,28,13
1,49,42,28,29,47
32,0,17,18,42,10
18,29,20,41,42,13
